,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep1_M50,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep2_M51,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep3_M52,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep4_M53,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep5_M54,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep6_M55,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep1_M62,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep2_M63,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep3_M64,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep4_M65,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep5_M66,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep6_M67
ENSMUSG00000001155,0,2,0,0,1,3,0,3,2,1,3,1
ENSMUSG00000001156,292,318,246,299,335,375,223,248,221,298,397,369
ENSMUSG00000001157,292,260,226,231,266,262,214,209,204,199,315,281
ENSMUSG00000001158,401,334,375,319,424,312,345,370,336,399,478,443
ENSMUSG00000001166,15,11,14,12,17,12,4,5,11,8,3,11
ENSMUSG00000001168,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001173,1178,872,971,753,923,1155,649,801,882,757,1041,1241
ENSMUSG00000001175,36144,31596,27729,31629,29755,34032,25188,20723,16103,24913,38635,32790
ENSMUSG00000001211,2720,2612,2690,2848,2971,2765,2408,2052,2505,2557,3101,3097
ENSMUSG00000001225,0,0,0,2,1,0,0,0,2,0,0,0
ENSMUSG00000001227,1763,1161,931,1003,1035,1329,900,659,683,872,951,1202
ENSMUSG00000001228,7,7,11,7,7,8,1,5,5,4,16,15
ENSMUSG00000001229,757,562,519,488,561,648,425,383,382,414,557,730
ENSMUSG00000001240,129,176,208,183,198,186,94,105,140,134,158,195
ENSMUSG00000001247,93,79,114,79,121,68,79,75,83,77,84,101
ENSMUSG00000001248,832,576,613,608,665,742,445,474,480,502,725,739
ENSMUSG00000001249,1,1,9,9,4,1,4,1,6,1,8,3
ENSMUSG00000001260,420,360,550,240,392,276,353,698,706,375,356,468
ENSMUSG00000001270,7463,8810,9196,9489,11071,8389,8219,8540,8406,9494,11163,10992
ENSMUSG00000001280,455,348,493,437,510,464,393,373,426,427,607,534
ENSMUSG00000001281,9,4,10,3,5,8,2,2,6,3,4,10
ENSMUSG00000001285,164,144,199,158,185,182,130,168,156,157,213,190
ENSMUSG00000001288,98,80,86,76,69,85,61,81,84,51,104,81
ENSMUSG00000001289,1602,1458,1966,1961,1982,1620,1812,2079,1860,2000,2963,1756
ENSMUSG00000001300,1371,855,739,367,428,933,396,615,230,307,654,890
ENSMUSG00000001305,86,74,79,66,109,74,63,76,66,68,101,90
ENSMUSG00000001313,815,772,1526,782,1005,589,936,1196,1569,1130,921,1049
ENSMUSG00000001323,1877,1483,1301,1334,1151,1784,922,921,678,918,1527,1565
ENSMUSG00000001333,32,16,28,15,24,43,11,15,38,8,21,36
ENSMUSG00000001334,316,533,736,774,949,502,731,507,933,944,769,873
ENSMUSG00000001348,2,0,4,2,1,0,4,1,10,10,0,2
ENSMUSG00000001349,4,5,31,1,5,5,3,14,8,6,8,15
ENSMUSG00000001366,513,487,673,514,725,505,554,383,741,597,557,734
ENSMUSG00000001376,887,729,736,701,738,878,596,624,520,625,872,862
ENSMUSG00000001380,854,658,762,599,812,847,494,495,594,648,815,884
ENSMUSG00000001383,1730,1234,1246,1187,1207,1428,799,867,807,960,1498,1441
ENSMUSG00000001403,1,0,1,2,0,0,0,0,0,0,4,3
ENSMUSG00000001415,759,734,706,657,776,664,614,637,627,646,912,794
ENSMUSG00000001416,823,757,1047,680,936,733,697,781,814,819,940,1116
ENSMUSG00000001418,198,221,226,211,199,221,183,156,162,149,242,280
ENSMUSG00000001419,5717,4439,3202,3850,3713,5601,2577,2314,1865,2793,4610,4964
ENSMUSG00000001420,10,2,7,2,4,6,4,3,5,12,12,8
ENSMUSG00000001424,992,707,677,633,648,823,497,477,533,619,726,901
ENSMUSG00000001435,62,70,94,32,47,51,52,38,119,64,37,89
ENSMUSG00000001436,99,106,97,59,95,91,63,55,67,62,95,106
ENSMUSG00000001440,3291,2641,2609,2342,2751,3185,2024,1943,2238,2119,2665,3389
ENSMUSG00000001441,1745,1397,1412,1128,1478,1526,1119,988,1208,1089,1362,1887
ENSMUSG00000001444,0,1,1,1,0,0,1,0,0,0,0,4
ENSMUSG00000001445,372,295,362,297,320,318,245,262,271,308,339,407
ENSMUSG00000001467,832,745,1094,910,1103,920,652,616,1146,800,1201,1040
ENSMUSG00000001472,5372,4580,4782,4430,5233,5430,3549,3056,4132,4205,5242,5947
ENSMUSG00000001473,6,4,11,17,7,7,11,13,8,9,11,14
ENSMUSG00000001482,401,317,376,307,353,374,291,250,302,314,375,477
ENSMUSG00000001493,13,8,21,11,10,13,19,12,14,12,25,12
ENSMUSG00000001494,0,4,0,0,0,0,0,0,0,0,1,1
ENSMUSG00000001496,5,8,19,1,2,0,7,49,69,0,0,0
ENSMUSG00000001497,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000001504,1,2,202,7,86,0,26,10,184,90,44,108
ENSMUSG00000001506,210,150,371,77,82,127,136,100,110,183,74,322
ENSMUSG00000001507,305,191,341,155,329,315,203,157,436,264,226,372
ENSMUSG00000001508,2,4,3,1,4,3,4,2,0,4,6,5
ENSMUSG00000001510,1,0,8,2,4,3,1,1,4,2,6,7
ENSMUSG00000001517,20,16,31,15,19,30,26,13,9,2,13,16
ENSMUSG00000001518,131,110,160,129,188,143,116,102,160,184,132,183
ENSMUSG00000001520,111,114,192,78,170,85,103,158,230,158,113,184
ENSMUSG00000001521,198,175,235,148,250,181,185,183,206,210,248,213
ENSMUSG00000001524,175,146,136,132,124,105,122,95,80,118,141,154
ENSMUSG00000001525,7015,5030,4822,4079,4780,5980,3524,3198,4020,3646,4736,5899
ENSMUSG00000001542,467,494,474,598,719,653,423,341,430,518,917,682
ENSMUSG00000001552,663,682,740,678,833,690,598,600,621,590,753,851
ENSMUSG00000001555,79,54,87,68,48,71,51,50,39,66,58,64
ENSMUSG00000001558,2,0,2,0,1,1,2,1,0,1,0,2
ENSMUSG00000001566,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000001569,544,436,490,401,478,498,320,316,396,412,558,550
